HDR,ROLLING SYSTEM DEMAND
VD,20200316000000,27349
VD,20200316000500,27666
VD,20200316001000,27783
VD,20200316001500,27761
VD,20200316002000,27728
VD,20200316002500,27739
VD,20200316003000,27690
VD,20200316003500,27780
VD,20200316004000,27637
VD,20200316004500,27503
VD,20200316005000,27361
VD,20200316005500,27292
VD,20200316010000,27025
VD,20200316010500,26971
VD,20200316011000,26877
VD,20200316011500,26802
VD,20200316012000,26704
VD,20200316012500,26596
VD,20200316013000,26477
VD,20200316013500,26361
VD,20200316014000,26256
VD,20200316014500,26275
VD,20200316015000,26443
VD,20200316015500,26564
VD,20200316020000,26675
VD,20200316020500,26625
VD,20200316021000,26556
VD,20200316021500,26500
VD,20200316022000,26538
VD,20200316022500,26554
VD,20200316023000,26531
VD,20200316023500,26523
VD,20200316024000,26470
VD,20200316024500,26397
VD,20200316025000,26377
VD,20200316025500,26397
VD,20200316030000,26356
VD,20200316030500,26380
VD,20200316031000,26312
VD,20200316031500,26209
VD,20200316032000,26171
VD,20200316032500,26207
VD,20200316033000,26159
VD,20200316033500,26111
VD,20200316034000,26006
VD,20200316034500,25896
VD,20200316035000,25773
VD,20200316035500,25710
VD,20200316040000,25664
VD,20200316040500,25660
VD,20200316041000,25679
VD,20200316041500,25722
VD,20200316042000,25683
VD,20200316042500,25684
VD,20200316043000,25725
VD,20200316043500,25842
VD,20200316044000,25886
VD,20200316044500,25940
VD,20200316045000,25950
VD,20200316045500,25846
VD,20200316050000,25940
VD,20200316050500,26321
VD,20200316051000,26590
VD,20200316051500,26817
VD,20200316052000,26906
VD,20200316052500,26953
VD,20200316053000,27091
VD,20200316053500,27243
VD,20200316054000,27411
VD,20200316054500,27512
VD,20200316055000,27633
VD,20200316055500,27744
VD,20200316060000,27904
VD,20200316060500,28642
VD,20200316061000,29307
VD,20200316061500,29760
VD,20200316062000,30109
VD,20200316062500,30484
VD,20200316063000,30891
VD,20200316063500,31343
VD,20200316064000,31773
VD,20200316064500,32173
VD,20200316065000,32654
VD,20200316065500,33038
VD,20200316070000,33400
VD,20200316070500,33811
VD,20200316071000,34346
VD,20200316071500,34703
VD,20200316072000,34884
VD,20200316072500,34960
VD,20200316073000,34877
VD,20200316073500,34988
VD,20200316074000,35185
VD,20200316074500,35374
VD,20200316075000,35557
VD,20200316075500,35534
VD,20200316080000,35613
VD,20200316080500,35606
VD,20200316081000,35666
VD,20200316081500,35659
VD,20200316082000,35637
VD,20200316082500,35605
VD,20200316083000,35448
VD,20200316083500,35264
VD,20200316084000,35019
VD,20200316084500,34878
VD,20200316085000,34927
VD,20200316085500,34922
VD,20200316090000,34822
VD,20200316090500,34838
VD,20200316091000,34957
VD,20200316091500,35098
VD,20200316092000,34838
VD,20200316092500,34637
VD,20200316093000,34578
VD,20200316093500,34505
VD,20200316094000,34272
VD,20200316094500,34178
VD,20200316095000,34111
VD,20200316095500,33942
VD,20200316100000,33917
VD,20200316100500,33584
VD,20200316101000,33566
VD,20200316101500,33592
VD,20200316102000,33480
VD,20200316102500,33371
VD,20200316103000,33398
VD,20200316103500,33267
VD,20200316104000,33113
VD,20200316104500,32997
VD,20200316105000,32885
VD,20200316105500,32783
VD,20200316110000,32739
VD,20200316110500,32908
VD,20200316111000,32708
VD,20200316111500,32634
VD,20200316112000,32603
VD,20200316112500,32551
VD,20200316113000,32562
VD,20200316113500,32564
VD,20200316114000,32424
VD,20200316114500,32361
VD,20200316115000,32401
VD,20200316115500,32382
VD,20200316120000,32338
VD,20200316120500,32332
VD,20200316121000,32279
VD,20200316121500,32263
VD,20200316122000,32304
VD,20200316122500,32194
VD,20200316123000,32128
VD,20200316123500,32208
VD,20200316124000,32185
VD,20200316124500,31981
VD,20200316125000,31900
VD,20200316125500,31921
VD,20200316130000,32037
VD,20200316130500,31777
VD,20200316131000,31725
VD,20200316131500,31716
VD,20200316132000,31680
VD,20200316132500,31491
VD,20200316133000,31280
VD,20200316133500,31237
VD,20200316134000,31226
VD,20200316134500,31262
VD,20200316135000,31324
VD,20200316135500,31190
VD,20200316140000,31092
VD,20200316140500,31151
VD,20200316141000,31372
VD,20200316141500,31257
VD,20200316142000,31160
VD,20200316142500,31075
VD,20200316143000,30979
VD,20200316143500,31068
VD,20200316144000,31131
VD,20200316144500,31074
VD,20200316145000,31004
VD,20200316145500,31089
VD,20200316150000,31154
VD,20200316150500,31255
VD,20200316151000,31525
VD,20200316151500,31436
VD,20200316152000,31506
VD,20200316152500,31628
VD,20200316153000,31797
VD,20200316153500,32006
VD,20200316154000,32146
VD,20200316154500,32299
VD,20200316155000,32570
VD,20200316155500,32922
VD,20200316160000,33222
VD,20200316160500,33349
VD,20200316161000,33595
VD,20200316161500,33994
VD,20200316162000,34210
VD,20200316162500,34390
VD,20200316163000,34703
VD,20200316163500,35076
VD,20200316164000,35293
VD,20200316164500,35542
VD,20200316165000,35930
VD,20200316165500,36205
VD,20200316170000,36389
VD,20200316170500,36705
VD,20200316171000,36905
VD,20200316171500,37067
VD,20200316172000,37194
VD,20200316172500,37438
VD,20200316173000,37640
VD,20200316173500,38105
VD,20200316174000,38358
VD,20200316174500,38631
VD,20200316175000,38810
VD,20200316175500,38946
VD,20200316180000,38960
VD,20200316180500,39096
VD,20200316181000,39014
VD,20200316181500,39059
VD,20200316182000,39270
VD,20200316182500,39524
VD,20200316183000,39662
VD,20200316183500,39794
VD,20200316184000,39883
VD,20200316184500,39955
VD,20200316185000,39996
VD,20200316185500,39996
VD,20200316190000,40020
VD,20200316190500,40264
VD,20200316191000,40441
VD,20200316191500,40221
VD,20200316192000,40149
VD,20200316192500,40111
VD,20200316193000,40026
VD,20200316193500,39816
VD,20200316194000,39356
VD,20200316194500,38952
VD,20200316195000,38787
VD,20200316195500,38404
VD,20200316200000,38205
VD,20200316200500,38062
VD,20200316201000,37730
VD,20200316201500,37430
VD,20200316202000,37072
VD,20200316202500,36838
VD,20200316203000,36526
VD,20200316203500,36234
VD,20200316204000,35858
VD,20200316204500,35664
VD,20200316205000,35408
VD,20200316205500,35053
VD,20200316210000,34919
VD,20200316210500,34597
VD,20200316211000,34285
VD,20200316211500,34000
VD,20200316212000,33667
VD,20200316212500,33173
VD,20200316213000,32629
VD,20200316213500,32454
VD,20200316214000,32239
VD,20200316214500,31915
VD,20200316215000,31476
VD,20200316215500,31093
VD,20200316220000,30628
VD,20200316220500,30183
VD,20200316221000,29793
VD,20200316221500,29686
VD,20200316222000,29484
VD,20200316222500,29283
VD,20200316223000,28968
VD,20200316223500,28585
VD,20200316224000,28261
VD,20200316224500,27953
VD,20200316225000,27663
VD,20200316225500,27210
VD,20200316230000,26773
VD,20200316230500,26404
VD,20200316231000,26143
VD,20200316231500,26008
VD,20200316232000,25958
VD,20200316232500,25856
VD,20200316233000,25702
VD,20200316233500,25662
VD,20200316234000,25649
VD,20200316234500,25439
VD,20200316235000,25215
VD,20200316235500,25016
VD,20200317000000,24926
VD,20200317000500,25196
VD,20200317001000,25256
VD,20200317001500,25246
VD,20200317002000,25383
VD,20200317002500,25407
VD,20200317003000,25383
VD,20200317003500,25537
VD,20200317004000,25710
VD,20200317004500,25775
VD,20200317005000,25739
VD,20200317005500,25723
VD,20200317010000,25694
VD,20200317010500,25650
VD,20200317011000,25739
VD,20200317011500,25671
VD,20200317012000,25475
VD,20200317012500,25273
VD,20200317013000,25195
VD,20200317013500,25112
VD,20200317014000,25042
VD,20200317014500,24921
VD,20200317015000,24760
VD,20200317015500,24601
VD,20200317020000,24661
VD,20200317020500,24534
VD,20200317021000,24516
VD,20200317021500,24501
VD,20200317022000,24417
VD,20200317022500,24422
VD,20200317023000,24330
VD,20200317023500,24183
VD,20200317024000,24228
VD,20200317024500,24196
VD,20200317025000,24162
VD,20200317025500,24152
VD,20200317030000,23993
VD,20200317030500,24142
VD,20200317031000,24049
VD,20200317031500,24002
VD,20200317032000,23959
VD,20200317032500,23924
VD,20200317033000,23876
VD,20200317033500,23832
VD,20200317034000,23795
VD,20200317034500,23691
VD,20200317035000,23725
VD,20200317035500,23828
VD,20200317040000,23815
VD,20200317040500,23930
VD,20200317041000,23984
VD,20200317041500,23961
VD,20200317042000,24064
VD,20200317042500,24075
VD,20200317043000,24036
VD,20200317043500,24102
VD,20200317044000,24108
VD,20200317044500,24092
VD,20200317045000,24070
VD,20200317045500,24116
VD,20200317050000,24109
VD,20200317050500,24161
VD,20200317051000,24244
VD,20200317051500,24318
VD,20200317052000,24405
VD,20200317052500,24489
VD,20200317053000,24547
VD,20200317053500,24745
VD,20200317054000,24781
VD,20200317054500,24939
VD,20200317055000,25251
